Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-5.732e-04,4.82062,5.0325
-5.730e-04,4.81813,5.02781
-5.728e-04,4.83188,5.0425
-5.726e-04,4.82812,5.03094
-5.724e-04,4.82906,5.02063
-5.722e-04,4.83688,5.03
-5.720e-04,4.83625,5.03281
-5.718e-04,4.82219,5.03094
-5.716e-04,4.82938,5.03875
-5.714e-04,4.82313,5.0025
-5.712e-04,4.83688,5.05188
-5.710e-04,4.82437,5.0075
-5.708e-04,4.8325,5.02438
-5.706e-04,4.83469,5.01375
-5.704e-04,4.83688,5.03406
-5.702e-04,4.82719,5.02344
-5.700e-04,4.84063,5.03281
-5.698e-04,4.82313,5.02844
-5.696e-04,4.83469,5.02
-5.694e-04,4.82219,5.02562
-5.692e-04,4.82687,5.01813
-5.690e-04,4.8425,4.96906
-5.688e-04,4.82281,5.10844
-5.686e-04,4.83094,5.01469
-5.684e-04,4.82812,5.02438
-5.682e-04,4.83531,5.02719
-5.680e-04,4.83094,5.0275
-5.678e-04,4.82781,5.03625
-5.676e-04,4.82719,5.02875
-5.674e-04,4.82375,5.03031
-5.672e-04,4.83156,5.02531
-5.670e-04,4.82719,5.03875
-5.668e-04,4.83156,5.02688
-5.666e-04,4.8225,5.02281
-5.664e-04,4.82687,5.02469
-5.662e-04,4.82156,5.03375
-5.660e-04,4.81406,5.04031
-5.658e-04,4.8225,5.02063
-5.656e-04,4.83125,5.02125
-5.654e-04,4.83563,5.03844
-5.652e-04,4.82687,5.02063
-5.650e-04,4.81813,5.03188
-5.648e-04,4.82687,5.01562
-5.646e-04,4.83062,5.03281
-5.644e-04,4.83031,5.03469
-5.642e-04,4.82781,5.02937
-5.640e-04,4.835,5.02531
-5.638e-04,4.82156,5.02531
-5.636e-04,4.82094,5.02594
-5.634e-04,4.82437,5.02406
-5.632e-04,4.82906,5.02625
-5.630e-04,4.82156,5.01781
-5.628e-04,4.82719,5.03438
-5.626e-04,4.82938,5.02313
-5.624e-04,4.82437,5.02594
-5.622e-04,4.8375,4.99094
-5.620e-04,4.8375,5.0675
-5.618e-04,4.83563,5.03219
-5.616e-04,4.8325,5.01531
-5.614e-04,4.82344,5.02719
-5.612e-04,4.83781,5.01594
-5.610e-04,4.84156,5.03313
-5.608e-04,4.84187,5.01406
-5.606e-04,4.82812,5.02406
-5.604e-04,4.82906,5.04469
-5.602e-04,4.83375,5.02594
-5.600e-04,4.82656,5.0225
-5.598e-04,4.84875,5.05375
-5.596e-04,4.8325,5.01344
-5.594e-04,4.83062,5.04281
-5.592e-04,4.83281,5.03
-5.590e-04,4.83125,5.04344
-5.588e-04,4.82687,5.01031
-5.586e-04,4.82469,5.02031
-5.584e-04,4.83,5.00938
-5.582e-04,4.81969,5.02469
-5.580e-04,4.82469,5.02937
-5.578e-04,4.84156,5.03813
-5.576e-04,4.83594,5.02031
-5.574e-04,4.83781,5.03438
-5.572e-04,4.82406,5.03313
-5.570e-04,4.83875,5.02969
-5.568e-04,4.83469,5.03625
-5.566e-04,4.83437,5.02562
-5.564e-04,4.83969,5.01688
-5.562e-04,4.82875,5.03531
-5.560e-04,4.82531,5.03188
-5.558e-04,4.83062,5.02875
-5.556e-04,4.82062,5.01875
-5.554e-04,4.83594,5.02594
-5.552e-04,4.83906,5.03313
-5.550e-04,4.84219,5.03219
-5.548e-04,4.82563,5.02219
-5.546e-04,4.82969,5.03156
-5.544e-04,4.83844,5.02813
-5.542e-04,4.83031,5.02844
-5.540e-04,4.82781,5.03281
-5.538e-04,4.83375,5.03156
-5.536e-04,4.82437,5.02562
-5.534e-04,4.82844,5.025
-5.532e-04,4.82563,5.02094
-5.530e-04,4.825,4.98281
-5.528e-04,4.82906,5.08125
-5.526e-04,4.83094,5.02688
-5.524e-04,4.83625,5.02969
-5.522e-04,4.83375,5.02656
-5.520e-04,4.82687,5.02625
-5.518e-04,4.83062,5.02188
-5.516e-04,4.82687,5.01719
-5.514e-04,4.82344,5.02031
-5.512e-04,4.82875,5.02562
-5.510e-04,4.83281,5.02781
-5.508e-04,4.8325,5.02813
-5.506e-04,4.82781,5.2275
-5.504e-04,4.83969,4.75719
-5.502e-04,4.83031,5.12906
-5.500e-04,4.82719,5.00469
-5.498e-04,4.83625,5.02094
-5.496e-04,4.81125,5.025
-5.494e-04,4.81687,5.02781
-5.492e-04,4.82594,5.01969
-5.490e-04,4.83594,5.02375
-5.488e-04,4.8225,5.02406
-5.486e-04,4.82281,5.02656
-5.484e-04,4.83531,5.01844
