Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-5.678e-04,4.83312,5.03281
-5.676e-04,4.82563,5.02562
-5.674e-04,4.83125,5.02094
-5.672e-04,4.81656,5.02125
-5.670e-04,4.83719,5.02094
-5.668e-04,4.83219,5.01125
-5.666e-04,4.80656,5.21875
-5.664e-04,4.85625,4.77125
-5.662e-04,4.80219,5.075
-5.660e-04,4.81781,5.02844
-5.658e-04,4.82687,5.02188
-5.656e-04,4.82156,5.01688
-5.654e-04,4.83188,5.02125
-5.652e-04,4.835,5.03313
-5.650e-04,4.8225,5.02
-5.648e-04,4.83125,5.03219
-5.646e-04,4.82563,5.01375
-5.644e-04,4.82344,5.01969
-5.642e-04,4.82938,5.03438
-5.640e-04,4.82406,5.01469
-5.638e-04,4.83281,5.02469
-5.636e-04,4.83031,5.01531
-5.634e-04,4.83188,5.01875
-5.632e-04,4.835,5.025
-5.630e-04,4.81781,5.02094
-5.628e-04,4.83219,5.02
-5.626e-04,4.82125,5.01938
-5.624e-04,4.82437,5.02625
-5.622e-04,4.83,5.02937
-5.620e-04,4.82344,5.02313
-5.618e-04,4.82875,5.02094
-5.616e-04,4.82812,5.01219
-5.614e-04,4.81531,5.01938
-5.612e-04,4.82531,4.9675
-5.610e-04,4.81937,5.05375
-5.608e-04,4.83437,5.10125
-5.606e-04,4.83281,5.01938
-5.604e-04,4.81875,4.95094
-5.602e-04,4.82,4.99188
-5.600e-04,4.82375,5.06031
-5.598e-04,4.84156,5.06688
-5.596e-04,4.8275,4.94531
-5.594e-04,4.83531,5.07594
-5.592e-04,4.83563,4.99844
-5.590e-04,4.83781,5.03063
-5.588e-04,4.82781,5.025
-5.586e-04,4.82125,5.01125
-5.584e-04,4.825,5.00625
-5.582e-04,4.83312,5.02
-5.580e-04,4.81844,5.02188
-5.578e-04,4.81469,5.00938
-5.576e-04,4.83031,5.03031
-5.574e-04,4.82344,5.25219
-5.572e-04,4.86063,4.74219
-5.570e-04,4.81031,5.06781
-5.568e-04,4.82938,5.03563
-5.566e-04,4.82844,5.015
-5.564e-04,4.82531,5.01375
-5.562e-04,4.83,5.02688
-5.560e-04,4.83156,5.02
-5.558e-04,4.83469,5.01344
-5.556e-04,4.82594,5.02281
-5.554e-04,4.82437,5.02219
-5.552e-04,4.82687,5.02281
-5.550e-04,4.83062,5.0125
-5.548e-04,4.825,5.02406
-5.546e-04,4.82313,5.02594
-5.544e-04,4.8225,5.01313
-5.542e-04,4.83469,5.01438
-5.540e-04,4.82094,5.0225
-5.538e-04,4.83625,5.02281
-5.536e-04,4.83,5.01469
-5.534e-04,4.82906,5.015
-5.532e-04,4.83281,5.02594
-5.530e-04,4.84219,5.02031
-5.528e-04,4.82375,5.01156
-5.526e-04,4.8225,5.01656
-5.524e-04,4.82875,5.01531
-5.522e-04,4.82188,5.00844
-5.520e-04,4.82031,4.97063
-5.518e-04,4.81406,5.045
-5.516e-04,4.82563,5.09969
-5.514e-04,4.82156,5.00781
-5.512e-04,4.82812,4.96625
-5.510e-04,4.80844,4.97969
-5.508e-04,4.82188,5.06719
-5.506e-04,4.83094,5.065
-5.504e-04,4.81312,4.92531
-5.502e-04,4.82188,5.08844
-5.500e-04,4.82594,5.00094
-5.498e-04,4.82,5.0225
-5.496e-04,4.82625,5.01875
-5.494e-04,4.82,5.02594
-5.492e-04,4.82219,5.01406
-5.490e-04,4.82844,5.03156
-5.488e-04,4.82156,5.01969
-5.486e-04,4.84031,5.02031
-5.484e-04,4.83,5.01844
-5.482e-04,4.84094,5.32688
-5.480e-04,4.85062,4.68531
-5.478e-04,4.82062,5.0375
-5.476e-04,4.84031,5.045
-5.474e-04,4.82281,5.01938
-5.472e-04,4.82938,5.02688
-5.470e-04,4.81719,5.02469
-5.468e-04,4.82375,5.02906
-5.466e-04,4.83344,5.01469
-5.464e-04,4.81969,5.03063
-5.462e-04,4.82812,5.02406
-5.460e-04,4.82938,5.02156
-5.458e-04,4.83688,5.03281
-5.456e-04,4.82031,5.0225
-5.454e-04,4.82656,5.01969
-5.452e-04,4.82281,5.0175
-5.450e-04,4.82719,5.01969
-5.448e-04,4.8175,5.02094
-5.446e-04,4.82062,5.01562
-5.444e-04,4.82625,5.01219
-5.442e-04,4.82188,5.015
-5.440e-04,4.82281,5.02438
-5.438e-04,4.82062,5.02469
-5.436e-04,4.82844,5.01219
-5.434e-04,4.83844,5.02781
-5.432e-04,4.82156,5.01781
-5.430e-04,4.83688,5.00719
-5.428e-04,4.82375,4.95938
-5.426e-04,4.82281,5.06094
-5.424e-04,4.83188,5.09156
-5.422e-04,4.83469,4.99313
-5.420e-04,4.82188,4.96719
-5.418e-04,4.81656,5.01313
-5.416e-04,4.82625,4.95563
-5.414e-04,4.81406,5.1475
-5.412e-04,4.83719,5.00969
