Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-5.454e-04,4.80656,4.96781
-5.452e-04,4.78562,5.00125
-5.450e-04,4.80938,5.04656
-5.448e-04,4.80156,4.95844
-5.446e-04,4.81156,4.99969
-5.444e-04,4.79188,4.98281
-5.442e-04,4.79156,4.99531
-5.440e-04,4.79719,4.98375
-5.438e-04,4.80531,4.99875
-5.436e-04,4.80625,4.98531
-5.434e-04,4.79875,4.9875
-5.432e-04,4.80563,4.98719
-5.430e-04,4.80438,4.9775
-5.428e-04,4.79781,4.98469
-5.426e-04,4.80531,5.24437
-5.424e-04,4.81156,4.695
-5.422e-04,4.79156,5.01406
-5.420e-04,4.79906,5.00344
-5.418e-04,4.79937,4.97844
-5.416e-04,4.79719,4.985
-5.414e-04,4.80844,4.98094
-5.412e-04,4.80938,4.98656
-5.410e-04,4.80531,4.98375
-5.408e-04,4.80625,5.00313
-5.406e-04,4.80281,4.97781
-5.404e-04,4.81562,5
-5.402e-04,4.81937,4.97719
-5.400e-04,4.80375,4.99
-5.398e-04,4.79813,4.98594
-5.396e-04,4.79781,4.98938
-5.394e-04,4.81344,4.98969
-5.392e-04,4.80625,4.99031
-5.390e-04,4.80344,4.99375
-5.388e-04,4.80312,4.99
-5.386e-04,4.80563,4.99969
-5.384e-04,4.79844,4.99625
-5.382e-04,4.80312,4.99625
-5.380e-04,4.80281,4.97688
-5.378e-04,4.79625,5.00281
-5.376e-04,4.79094,4.99188
-5.374e-04,4.78844,4.99406
-5.372e-04,4.7875,4.99375
-5.370e-04,4.7975,4.99125
-5.368e-04,4.805,4.96719
-5.366e-04,4.80219,4.94313
-5.364e-04,4.79406,5.05406
-5.362e-04,4.8025,5.04438
-5.360e-04,4.79937,4.95063
-5.358e-04,4.80063,4.93562
-5.356e-04,4.78875,4.94937
-5.354e-04,4.81031,5.12375
-5.352e-04,4.80094,4.95469
-5.350e-04,4.79531,4.97844
-5.348e-04,4.79719,4.98844
-5.346e-04,4.79312,4.97594
-5.344e-04,4.79188,4.98875
-5.342e-04,4.79844,4.9925
-5.340e-04,4.79188,4.9925
-5.338e-04,4.80563,4.99563
-5.336e-04,4.80156,4.99688
-5.334e-04,4.79719,4.99906
-5.332e-04,4.79906,4.98
-5.330e-04,4.7875,5.0175
-5.328e-04,4.83625,4.98313
-5.326e-04,4.78625,4.93562
-5.324e-04,4.79063,5.01719
-5.322e-04,4.8,4.99188
-5.320e-04,4.795,4.985
-5.318e-04,4.80125,5.00875
-5.316e-04,4.80687,4.98906
-5.314e-04,4.8125,4.99
-5.312e-04,4.80719,4.99563
-5.310e-04,4.80594,5.00031
-5.308e-04,4.80687,4.99688
-5.306e-04,4.79063,4.98875
-5.304e-04,4.80094,4.98469
-5.302e-04,4.79031,4.99844
-5.300e-04,4.81219,4.98438
-5.298e-04,4.79438,5
-5.296e-04,4.80312,4.97875
-5.294e-04,4.79438,4.99437
-5.292e-04,4.80125,4.98938
-5.290e-04,4.79813,4.99375
-5.288e-04,4.79813,4.98906
-5.286e-04,4.80406,4.98813
-5.284e-04,4.79969,4.99844
-5.282e-04,4.80469,4.98125
-5.280e-04,4.79531,4.9925
-5.278e-04,4.7975,4.98531
-5.276e-04,4.80094,4.99875
-5.274e-04,4.79438,4.9975
-5.272e-04,4.80125,4.98844
-5.270e-04,4.79937,4.92688
-5.268e-04,4.79156,5.0075
-5.266e-04,4.80813,5.07563
-5.264e-04,4.80719,4.99219
-5.262e-04,4.80625,4.92688
-5.260e-04,4.79625,4.86375
-5.258e-04,4.80094,5.17719
-5.256e-04,4.805,4.96938
-5.254e-04,4.80063,4.97656
-5.252e-04,4.79969,4.99688
-5.250e-04,4.80281,4.99125
-5.248e-04,4.79844,4.98656
-5.246e-04,4.80312,4.99844
-5.244e-04,4.80531,4.99625
-5.242e-04,4.80594,4.99969
-5.240e-04,4.80375,4.99219
-5.238e-04,4.79469,5.00125
-5.236e-04,4.79562,4.99719
-5.234e-04,4.79813,4.99875
-5.232e-04,4.82969,5.06688
-5.230e-04,4.79594,4.88188
-5.228e-04,4.79281,5.01625
-5.226e-04,4.79937,4.98656
-5.224e-04,4.8025,4.98031
-5.222e-04,4.78688,4.98844
-5.220e-04,4.79594,4.97406
-5.218e-04,4.80125,4.98313
-5.216e-04,4.78625,4.97906
-5.214e-04,4.80875,4.98906
-5.212e-04,4.79937,4.99156
-5.210e-04,4.79656,4.9975
-5.208e-04,4.80781,4.9875
-5.206e-04,4.79719,4.99781
-5.204e-04,4.80375,4.98938
-5.202e-04,4.79562,4.98313
-5.200e-04,4.79188,4.99219
-5.198e-04,4.79813,4.98375
-5.196e-04,4.80781,4.99
-5.194e-04,4.79875,4.98625
-5.192e-04,4.8,4.99281
-5.190e-04,4.79594,4.98813
-5.188e-04,4.80438,4.99531
-5.186e-04,4.80219,4.98406
-5.184e-04,4.79375,4.98813
-5.182e-04,4.79375,4.99125
-5.180e-04,4.79188,4.99688
-5.178e-04,4.80625,4.98813
-5.176e-04,4.80344,4.97875
-5.174e-04,4.81531,4.965
-5.172e-04,4.795,4.94937
-5.170e-04,4.80312,5.07156
-5.168e-04,4.80125,5.04156
-5.166e-04,4.79656,4.93094
-5.164e-04,4.78625,4.77406
-5.162e-04,4.79156,5.21375
-5.160e-04,4.80344,4.97844
-5.158e-04,4.80375,4.97906
-5.156e-04,4.80906,4.98844
-5.154e-04,4.795,5
-5.152e-04,4.79688,4.99938
-5.150e-04,4.795,4.99531
-5.148e-04,4.79844,4.99094
-5.146e-04,4.7975,4.98875
-5.144e-04,4.79063,4.98969
-5.142e-04,4.79,4.98813
-5.140e-04,4.80031,5.00156
-5.138e-04,4.79937,4.97375
-5.136e-04,4.82563,5.14875
-5.134e-04,4.78125,4.7925
-5.132e-04,4.8,5.02937
-5.130e-04,4.79031,4.9825
-5.128e-04,4.8,4.98531
-5.126e-04,4.80531,4.99
-5.124e-04,4.79813,4.98438
-5.122e-04,4.79906,4.98594
-5.120e-04,4.79937,4.98938
-5.118e-04,4.79937,4.99625
-5.116e-04,4.80875,4.99625
-5.114e-04,4.81125,4.98719
-5.112e-04,4.79312,4.99625
-5.110e-04,4.805,4.98969
-5.108e-04,4.78719,4.97531
-5.106e-04,4.80219,4.97438
-5.104e-04,4.80094,5.00406
-5.102e-04,4.79031,4.99156
-5.100e-04,4.80281,4.98406
-5.098e-04,4.79656,4.98813
-5.096e-04,4.80156,4.98219
-5.094e-04,4.79844,4.98313
-5.092e-04,4.81344,4.98313
-5.090e-04,4.79781,4.98531
-5.088e-04,4.80813,4.98438
-5.086e-04,4.805,4.99469
-5.084e-04,4.80656,4.98531
-5.082e-04,4.815,4.98281
-5.080e-04,4.8025,4.97781
-5.078e-04,4.80906,4.97688
-5.076e-04,4.80312,4.94313
-5.074e-04,4.79937,5.04906
-5.072e-04,4.80438,5.04531
-5.070e-04,4.81562,4.95219
