Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-5.654e-04,4.80219,5.00156
-5.652e-04,4.80281,5.00125
-5.650e-04,4.81844,5.0075
-5.648e-04,4.81312,5.00063
-5.646e-04,4.81188,4.99719
-5.644e-04,4.8125,5.01375
-5.642e-04,4.81438,4.99875
-5.640e-04,4.80687,4.99625
-5.638e-04,4.81031,5.00594
-5.636e-04,4.81188,4.995
-5.634e-04,4.82469,4.99719
-5.632e-04,4.8175,5.00813
-5.630e-04,4.81969,5.00469
-5.628e-04,4.80906,5.01187
-5.626e-04,4.80938,5.00281
-5.624e-04,4.82344,5.00594
-5.622e-04,4.80969,5.00031
-5.620e-04,4.79906,5.00531
-5.618e-04,4.81406,5.0075
-5.616e-04,4.82437,5.01844
-5.614e-04,4.80813,5.00938
-5.612e-04,4.81625,5.00531
-5.610e-04,4.8,5.01031
-5.608e-04,4.81844,5.01688
-5.606e-04,4.8175,4.99844
-5.604e-04,4.81156,4.99719
-5.602e-04,4.81188,4.98531
-5.600e-04,4.8275,4.99469
-5.598e-04,4.81906,4.99594
-5.596e-04,4.81531,5.0175
-5.594e-04,4.82094,4.99719
-5.592e-04,4.82406,5.00219
-5.590e-04,4.80781,5.00219
-5.588e-04,4.81687,5
-5.586e-04,4.80312,5.00469
-5.584e-04,4.81062,5.01531
-5.582e-04,4.81813,5.00938
-5.580e-04,4.81031,5.00438
-5.578e-04,4.80312,4.99719
-5.576e-04,4.82719,5.00188
-5.574e-04,4.80813,5.01438
-5.572e-04,4.80656,4.98938
-5.570e-04,4.80781,4.975
-5.568e-04,4.80875,5.03906
-5.566e-04,4.81188,5.00125
-5.564e-04,4.80938,5.00125
-5.562e-04,4.81,4.99437
-5.560e-04,4.81031,4.99531
-5.558e-04,4.81781,4.99437
-5.556e-04,4.8175,5.005
-5.554e-04,4.82656,5.00781
-5.552e-04,4.81219,5.00344
-5.550e-04,4.80969,4.99656
-5.548e-04,4.8025,5.00094
-5.546e-04,4.81344,4.99281
-5.544e-04,4.80719,5.00313
-5.542e-04,4.81312,5.00375
-5.540e-04,4.81906,5.0025
-5.538e-04,4.81625,5.00438
-5.536e-04,4.81406,5.00469
-5.534e-04,4.81594,4.99656
-5.532e-04,4.81031,5.00531
-5.530e-04,4.81625,5.01219
-5.528e-04,4.80281,4.99812
-5.526e-04,4.81062,5.00688
-5.524e-04,4.81531,5.01281
-5.522e-04,4.81219,5.00656
-5.520e-04,4.80438,5.00188
-5.518e-04,4.81937,4.99688
-5.516e-04,4.80781,5
-5.514e-04,4.81687,5.00531
-5.512e-04,4.825,5.00156
-5.510e-04,4.80563,4.99563
-5.508e-04,4.81094,4.99656
-5.506e-04,4.8225,5.00375
-5.504e-04,4.80875,5.00656
-5.502e-04,4.81156,4.99656
-5.500e-04,4.81219,4.99437
-5.498e-04,4.80406,4.995
-5.496e-04,4.80438,4.99281
-5.494e-04,4.81687,4.99313
-5.492e-04,4.81625,5.00063
-5.490e-04,4.81687,4.99344
-5.488e-04,4.81469,4.99656
-5.486e-04,4.81156,4.99281
-5.484e-04,4.81813,5.00344
-5.482e-04,4.82188,5.00656
-5.480e-04,4.81156,5.01156
-5.478e-04,4.81875,5.0075
-5.476e-04,4.82031,5.02594
-5.474e-04,4.80906,4.98844
-5.472e-04,4.81062,4.98406
-5.470e-04,4.81219,5.00313
-5.468e-04,4.81125,4.99313
-5.466e-04,4.80875,5.00719
-5.464e-04,4.81094,5.00156
-5.462e-04,4.82375,5.00594
-5.460e-04,4.81562,4.9925
-5.458e-04,4.80719,4.98969
-5.456e-04,4.81594,4.99031
-5.454e-04,4.81062,4.9975
-5.452e-04,4.82719,5.00188
-5.450e-04,4.81094,4.99844
-5.448e-04,4.80938,5.0025
-5.446e-04,4.81687,4.99625
-5.444e-04,4.81094,4.99656
-5.442e-04,4.805,5
-5.440e-04,4.80656,5.00813
-5.438e-04,4.80438,4.99406
-5.436e-04,4.80875,4.99031
-5.434e-04,4.8125,4.99812
-5.432e-04,4.80156,4.995
-5.430e-04,4.80938,5.00313
-5.428e-04,4.81219,5.01063
-5.426e-04,4.81906,5.00813
-5.424e-04,4.8175,4.99812
-5.422e-04,4.81312,4.99188
-5.420e-04,4.81406,5.00063
-5.418e-04,4.81531,5.00313
-5.416e-04,4.81531,5.00188
-5.414e-04,4.80469,4.99563
-5.412e-04,4.81687,4.98594
-5.410e-04,4.81531,4.99344
-5.408e-04,4.81781,5.00844
-5.406e-04,4.825,4.97813
-5.404e-04,4.80625,5.00969
-5.402e-04,4.81531,5.00188
-5.400e-04,4.81281,4.99406
-5.398e-04,4.81969,4.99625
-5.396e-04,4.82188,4.99156
-5.394e-04,4.80531,4.99719
-5.392e-04,4.80875,4.99437
-5.390e-04,4.80969,4.99969
-5.388e-04,4.82125,5.00313
-5.386e-04,4.81594,4.9975
-5.384e-04,4.81969,4.99875
-5.382e-04,4.82094,5.04719
-5.380e-04,4.83312,4.95312
-5.378e-04,4.82125,5.01469
-5.376e-04,4.82594,4.99531
-5.374e-04,4.82094,4.99313
-5.372e-04,4.81438,4.98688
-5.370e-04,4.82687,4.99531
-5.368e-04,4.82719,4.98844
-5.366e-04,4.81625,5.00125
-5.364e-04,4.83062,4.99969
-5.362e-04,4.82094,4.99688
-5.360e-04,4.81875,4.98844
-5.358e-04,4.82281,5.00594
-5.356e-04,4.825,4.99469
-5.354e-04,4.81594,4.98813
-5.352e-04,4.81625,5.005
-5.350e-04,4.80875,4.98719
-5.348e-04,4.80844,4.98875
-5.346e-04,4.80438,5.00031
-5.344e-04,4.81469,4.99781
-5.342e-04,4.81969,4.98969
-5.340e-04,4.81844,4.98531
-5.338e-04,4.81188,4.99875
-5.336e-04,4.81344,4.99875
-5.334e-04,4.81937,4.99375
-5.332e-04,4.81406,5.00656
-5.330e-04,4.80656,4.99531
-5.328e-04,4.825,5.00438
-5.326e-04,4.81531,5.01281
-5.324e-04,4.81406,5.00125
-5.322e-04,4.81031,5.0175
-5.320e-04,4.81188,4.99656
-5.318e-04,4.81719,4.99
-5.316e-04,4.80344,4.98938
-5.314e-04,4.81625,4.99875
-5.312e-04,4.81438,5.005
-5.310e-04,4.81625,4.99437
-5.308e-04,4.80625,4.99906
-5.306e-04,4.80156,4.99969
-5.304e-04,4.81594,5.005
-5.302e-04,4.8125,5.00438
-5.300e-04,4.81219,4.98344
-5.298e-04,4.80594,5.00969
-5.296e-04,4.81062,5.01406
-5.294e-04,4.81562,4.995
-5.292e-04,4.81031,4.99625
-5.290e-04,4.80312,5.005
