Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-5.682e-04,4.69781,4.86594
-5.680e-04,4.68063,4.86219
-5.678e-04,4.6825,4.85844
-5.676e-04,4.69062,4.86469
-5.674e-04,4.69281,4.86094
-5.672e-04,4.68719,4.81813
-5.670e-04,4.69813,4.9075
-5.668e-04,4.69531,4.87781
-5.666e-04,4.7025,4.86719
-5.664e-04,4.69813,4.86906
-5.662e-04,4.70219,4.86625
-5.660e-04,4.7075,4.86031
-5.658e-04,4.69313,4.8675
-5.656e-04,4.69313,4.86688
-5.654e-04,4.69562,4.86281
-5.652e-04,4.69688,4.86625
-5.650e-04,4.68812,4.88406
-5.648e-04,4.69031,4.86188
-5.646e-04,4.69844,4.86406
-5.644e-04,4.69688,4.86656
-5.642e-04,4.70281,4.87344
-5.640e-04,4.69062,4.95531
-5.638e-04,4.69281,4.76688
-5.636e-04,4.6875,4.88687
-5.634e-04,4.6925,4.85688
-5.632e-04,4.69031,4.86281
-5.630e-04,4.70187,4.86531
-5.628e-04,4.70031,4.86406
-5.626e-04,4.68375,4.86375
-5.624e-04,4.70344,4.86406
-5.622e-04,4.695,4.87281
-5.620e-04,4.70281,4.86656
-5.618e-04,4.70438,4.87469
-5.616e-04,4.68781,4.86531
-5.614e-04,4.69656,4.86094
-5.612e-04,4.70219,4.86031
-5.610e-04,4.70187,4.855
-5.608e-04,4.69375,4.87219
-5.606e-04,4.69406,4.85688
-5.604e-04,4.69688,4.86125
-5.602e-04,4.69,4.87375
-5.600e-04,4.69656,4.87438
-5.598e-04,4.69062,4.8575
-5.596e-04,4.68875,4.86563
-5.594e-04,4.70438,4.87375
-5.592e-04,4.70031,4.8675
-5.590e-04,4.69094,4.86969
-5.588e-04,4.69281,4.86594
-5.586e-04,4.69313,4.8575
-5.584e-04,4.68531,4.87281
-5.582e-04,4.70406,4.86188
-5.580e-04,4.68531,4.82031
-5.578e-04,4.6925,4.90344
-5.576e-04,4.68625,4.88687
-5.574e-04,4.68625,4.85813
-5.572e-04,4.68938,4.86188
-5.570e-04,4.69313,4.86969
-5.568e-04,4.69688,4.86719
-5.566e-04,4.69656,4.86844
-5.564e-04,4.68781,4.86781
-5.562e-04,4.68688,4.865
-5.560e-04,4.69156,4.86969
-5.558e-04,4.69813,4.86156
-5.556e-04,4.69156,4.86781
-5.554e-04,4.69344,4.87188
-5.552e-04,4.69344,4.86625
-5.550e-04,4.69906,4.86625
-5.548e-04,4.71125,4.77156
-5.546e-04,4.69562,4.99812
-5.544e-04,4.71,4.81563
-5.542e-04,4.70438,4.86344
-5.540e-04,4.69469,4.86813
-5.538e-04,4.68031,4.84469
-5.536e-04,4.69281,4.86937
-5.534e-04,4.69281,4.85656
-5.532e-04,4.69813,4.85375
-5.530e-04,4.70344,4.86781
-5.528e-04,4.68938,4.85406
-5.526e-04,4.69906,4.87438
-5.524e-04,4.68875,4.87
-5.522e-04,4.70469,4.87281
-5.520e-04,4.69969,4.86
-5.518e-04,4.69375,4.85156
-5.516e-04,4.69156,4.8625
-5.514e-04,4.6975,4.85813
-5.512e-04,4.69281,4.86906
-5.510e-04,4.69625,4.87
-5.508e-04,4.69281,4.86313
-5.506e-04,4.69156,4.86313
-5.504e-04,4.7075,4.86156
-5.502e-04,4.69531,4.86813
-5.500e-04,4.69344,4.87563
-5.498e-04,4.69813,4.87125
-5.496e-04,4.69969,4.86594
-5.494e-04,4.69875,4.87625
-5.492e-04,4.69531,4.85594
-5.490e-04,4.68875,4.86
-5.488e-04,4.70469,4.83531
-5.486e-04,4.68375,4.86375
-5.484e-04,4.69969,4.88563
-5.482e-04,4.69375,4.87094
-5.480e-04,4.69313,4.86344
-5.478e-04,4.69813,4.86
-5.476e-04,4.69875,4.86219
-5.474e-04,4.70594,4.87438
-5.472e-04,4.69656,4.86906
-5.470e-04,4.69531,4.86375
-5.468e-04,4.69219,4.86063
-5.466e-04,4.69469,4.86594
-5.464e-04,4.69156,4.86219
-5.462e-04,4.7,4.86438
-5.460e-04,4.70156,4.84781
-5.458e-04,4.69781,4.86375
-5.456e-04,4.69719,4.93656
-5.454e-04,4.68281,4.77
-5.452e-04,4.69656,4.90094
-5.450e-04,4.69719,4.83906
-5.448e-04,4.70219,4.87063
-5.446e-04,4.69375,4.86375
-5.444e-04,4.68594,4.85125
-5.442e-04,4.68562,4.87219
-5.440e-04,4.69094,4.85688
-5.438e-04,4.68844,4.86625
-5.436e-04,4.70344,4.87375
-5.434e-04,4.69688,4.86688
-5.432e-04,4.69406,4.87
-5.430e-04,4.69313,4.86531
-5.428e-04,4.70219,4.86594
-5.426e-04,4.69688,4.86438
-5.424e-04,4.68844,4.86281
-5.422e-04,4.68063,4.85375
-5.420e-04,4.69062,4.87969
-5.418e-04,4.70031,4.85688
-5.416e-04,4.68156,4.86063
-5.414e-04,4.68906,4.86656
-5.412e-04,4.68844,4.86688
-5.410e-04,4.69688,4.86375
-5.408e-04,4.69562,4.86594
-5.406e-04,4.69437,4.85969
-5.404e-04,4.70937,4.85688
-5.402e-04,4.70031,4.86656
-5.400e-04,4.70063,4.86156
-5.398e-04,4.69406,4.84938
-5.396e-04,4.69719,4.86156
-5.394e-04,4.68812,4.83125
-5.392e-04,4.69656,4.90469
-5.390e-04,4.7075,4.86688
-5.388e-04,4.69906,4.85938
-5.386e-04,4.69562,4.85594
-5.384e-04,4.695,4.87063
-5.382e-04,4.69156,4.87
-5.380e-04,4.69531,4.865
-5.378e-04,4.70063,4.86156
-5.376e-04,4.70562,4.86563
-5.374e-04,4.69156,4.86688
-5.372e-04,4.70094,4.87375
-5.370e-04,4.69531,4.86031
-5.368e-04,4.69281,4.86469
-5.366e-04,4.68187,4.86281
-5.364e-04,4.68594,4.96719
-5.362e-04,4.72156,4.73094
-5.360e-04,4.68688,4.8775
-5.358e-04,4.70469,4.87031
-5.356e-04,4.7,4.83594
-5.354e-04,4.70344,4.85406
-5.352e-04,4.69594,4.85313
-5.350e-04,4.70594,4.86937
-5.348e-04,4.695,4.85781
-5.346e-04,4.69656,4.87406
-5.344e-04,4.69562,4.86969
-5.342e-04,4.69375,4.865
-5.340e-04,4.69281,4.84969
-5.338e-04,4.69875,4.86125
-5.336e-04,4.69437,4.85469
-5.334e-04,4.71,4.88281
-5.332e-04,4.69656,4.85594
-5.330e-04,4.69594,4.86813
-5.328e-04,4.70281,4.87406
-5.326e-04,4.70406,4.86906
-5.324e-04,4.68969,4.86438
-5.322e-04,4.69625,4.8625
-5.320e-04,4.70156,4.86438
-5.318e-04,4.68781,4.87031
-5.316e-04,4.71188,4.86844
-5.314e-04,4.69688,4.86844
-5.312e-04,4.705,4.86438
-5.310e-04,4.69719,4.87219
-5.308e-04,4.70281,4.85562
-5.306e-04,4.68156,4.87
-5.304e-04,4.70344,4.86906
